book_id,title_word_count,title_avg_word_length,._count,!_count,?_count,",_count",``_count,length,proper_names,pos_sentiment,neu_sentiment,neg_sentiment,point_of_view,sim_alle,sim_cs,sim_dam,sim_gah,sim_hawas,sim_lit,sim_lar,sim_saa,sim_ws,genre
pg42498,8,3.5,0.052063015753938485,0.004276069017254314,0.006114028507126782,0.05408852213053263,0.014159789947486873,53320,0.004051012753188297,0.11800000000000001,0.7909999999999999,0.091,0.4902080783353733,0.46084773540496826,0.49000945687294006,0.5844404697418213,0.570569634437561,0.5725710391998291,0.9376000165939331,0.46238619089126587,0.4639350473880768,0.5582476854324341,Literary
pg10826,12,5.166666666666667,0.02703767694219636,0.0037889121275499374,0.003091752296080749,0.07547512958079476,0.0009396502076323846,32991,0.013246036797914584,0.172,0.757,0.071,0.4071038251366121,0.759352445602417,0.6089051961898804,0.6011866331100464,0.7101981043815613,0.6133995056152344,0.5894820094108582,0.6977184414863586,0.7554970383644104,0.554034948348999,Literary
pg35203,5,4.0,0.04832070948167951,0.00333099951201918,0.0053783973012539,0.06079604523370038,0.02560838478348503,94266,0.005420830416056691,0.126,0.7979999999999999,0.077,0.5106382978723404,0.5267281532287598,0.5408749580383301,0.5816507339477539,0.6373637914657593,0.6843442916870117,0.5180208683013916,0.6284418702125549,0.6407893300056458,0.5990587472915649,Literary
pg30089,2,7.5,0.022353432475697748,0.0016588172516994175,0.0023200241282509337,0.06933392107277915,0.008874092290559821,86206,0.005753659838062315,0.127,0.782,0.091,0.2814245810055866,0.49203985929489136,0.5737022757530212,0.5895559787750244,0.5023808479309082,0.6778186559677124,0.4958444833755493,0.5309465527534485,0.6707644462585449,0.6440027356147766,Literary
pg16137,2,4.5,0.05042720278512298,0.012324434936284996,0.01009208445725979,0.06456542248561596,0.03345868158443733,150514,0.002936603903955778,0.145,0.746,0.109,0.4777093149691917,0.6867272257804871,0.5382646322250366,0.6366420984268188,0.5575375556945801,0.597078263759613,0.5671933889389038,0.5157760977745056,0.5368875861167908,0.5045019388198853,Literary
pg35442,6,4.333333333333333,0.02585788119868441,0.00381457502130269,0.0026041044508684327,0.07785237037214006,0.008863511479561364,125571,0.00800344028477913,0.145,0.77,0.086,0.6918876755070202,0.5003870725631714,0.5832905769348145,0.6712890863418579,0.6639537811279297,0.56983482837677,0.5484218597412109,0.5507952570915222,0.6268158555030823,0.5507173538208008,Literary
pg12470,3,5.0,0.044653817076243975,0.004056481835253185,0.005275865152463561,0.07286221781437734,0.02220090559534358,123013,0.0031378797362880346,0.154,0.74,0.106,0.444385593220339,0.6526252627372742,0.5890969634056091,0.41990190744400024,0.5545276999473572,0.6666120886802673,0.6562207937240601,0.5467847585678101,0.6206645965576172,0.5372714400291443,Literary
pg6298,4,5.5,0.05045533505290309,0.003237353266305207,0.0065273464231194395,0.056035163446860034,0.016344686003053114,37994,0.0042375111859767325,0.138,0.7659999999999999,0.096,0.3949416342412451,0.69846111536026,0.645624041557312,0.629890501499176,0.6625844240188599,0.6874845623970032,0.6313603520393372,0.7158567309379578,0.5871734619140625,0.8254835605621338,Literary
pg37451,1,10.0,0.037050534499514086,0.0041302235179786215,0.0017006802721088435,0.06341107871720117,0.005830903790087464,8232,0.013726919339164236,0.122,0.81,0.068,0.04487179487179487,0.6228036880493164,0.5745930671691895,0.5420482158660889,0.6718544363975525,0.8473160862922668,0.5249161720275879,0.8075095415115356,0.6443067789077759,0.6809945106506348,Literary
pg41284,5,4.0,0.031923784054822005,0.00574962393448103,0.002941668059501921,0.062176165803108814,0.011098111315393615,29915,0.008423867624937322,0.11199999999999999,0.8029999999999999,0.085,0.5589264877479581,0.5954864025115967,0.6066190600395203,0.6440315246582031,0.5915117859840393,0.8206808567047119,0.6293384432792664,0.6239576935768127,0.7794777154922485,0.6973238587379456,Literary
